gene_id	logFC	logCPM	PValue	FDR	gene	score	specie	score_corrected	pos_score	pos_score_corr	pass_thr
ENSMUSG00000029505	-0.100905897801633	9.14361371762837	0.387722831759938	0.869907789790079	Ep400	-8.76858687673221	mus	-5.84837240656069	FALSE	FALSE	FALSE
ENSMUSG00000029507	0.152368562313006	5.44325723915878	0.19432054231603	0.74418976929821	Pus1	-8.1649346822533	mus	-4.96435051093961	FALSE	FALSE	FALSE
ENSMUSG00000029512	-0.185476405813419	6.61233644924174	0.367668999626795	0.86228481196491	Ulk1	-8.72217777837195	mus	-5.77614027681912	FALSE	FALSE	FALSE
ENSMUSG00000029513	0.0114277763321099	6.41734733127953	0.916137900162253	0.992610487369727	Prkab1	-9.52000540225471	mus	-6.82801462650399	FALSE	FALSE	FALSE
ENSMUSG00000029516	-0.432972354408152	1.40558081960503	0.0910602761409189	0.58332535558835	Cit	-7.50255350837657	mus	-4.06533637882096	FALSE	FALSE	FALSE
ENSMUSG00000029518	0.119572131350405	6.22428238936702	0.240888387015121	0.781976504544848	Rab35	-8.35266311370581	mus	-5.26317415893821	FALSE	FALSE	FALSE
ENSMUSG00000029521	-0.205393450062289	1.8806861366639	0.400850201322884	0.875093215365117	Chek2	-8.79768412334626	mus	-5.8887929109765	FALSE	FALSE	FALSE
ENSMUSG00000029524	-0.377930799747023	3.23748584535893	0.035066289843647	0.403760656886739	Sirt4	-6.6686372442674	mus	-2.96727680280829	FALSE	FALSE	FALSE
ENSMUSG00000029528	0.17711226259113	7.53463247478029	0.111840171956629	0.628405169178815	Pxn	-7.68217639826748	mus	-4.296904200891	FALSE	FALSE	FALSE
ENSMUSG00000029530	-0.493055241446131	2.09463635035942	0.0369932714021711	0.409538602412685	Ccr9	-6.71538550760396	mus	-3.04110824015947	FALSE	FALSE	FALSE
ENSMUSG00000029534	0.156166588719578	3.67095681730072	0.353509567105941	0.856490702740359	St7	-8.68785876191037	mus	-5.72912022845233	FALSE	FALSE	FALSE
ENSMUSG00000029535	0.163996571250709	2.73684820938254	0.363651570799571	0.861222028701805	Triap1	-8.71257668367804	mus	-5.76248412858824	FALSE	FALSE	FALSE
ENSMUSG00000029536	0.390958377451663	1.77909099548182	0.0806447334903893	0.561481770503728	Gatc	-7.39640633292947	mus	-3.95056449474971	FALSE	FALSE	FALSE
ENSMUSG00000029538	0.0015606507539211	5.34066213843808	1	1	Srsf9	-9.59654611084777	mus	-6.91089307777007	FALSE	FALSE	FALSE
ENSMUSG00000029545	0.122728504465034	5.19614547101678	0.316682022716807	0.831770275256691	Acads	-8.59172244643807	mus	-5.60192939265163	FALSE	FALSE	FALSE
ENSMUSG00000029547	-0.0282004834467268	8.23939719340353	0.793626016378475	0.975361772453392	Ints1	-9.3945576215653	mus	-6.66916669094377	FALSE	FALSE	FALSE
ENSMUSG00000029550	0.0610567552487047	6.15159247545772	0.577673247805764	0.931411143945822	Sppl3	-9.11701360172068	mus	-6.32472307667206	FALSE	FALSE	FALSE
ENSMUSG00000029551	0.124401967321527	2.26816433686259	0.539330037407147	0.924267868752449	Psmg3	-9.05699571869152	mus	-6.23319139673036	FALSE	FALSE	FALSE
ENSMUSG00000029552	0.0101533587136904	7.49596220298369	0.928019573901241	0.994286853737014	Tes	-9.53126600432058	mus	-6.84193371143143	FALSE	FALSE	FALSE
ENSMUSG00000029554	0.0298200758062457	5.3198880345628	0.826678871749242	0.98135728361143	Mad1l1	-9.43021492317301	mus	-6.70964830279233	FALSE	FALSE	FALSE
ENSMUSG00000029557	0.239937098886579	1.77884715900189	0.409349995138317	0.879177728462803	Ftsj2	-8.81602026530525	mus	-5.90934515373217	FALSE	FALSE	FALSE
ENSMUSG00000029559	0.130629922899682	4.5546750750666	0.3301588858143	0.841981533673789	2210016L21Rik	-8.62814162731782	mus	-5.6443011331614	FALSE	FALSE	FALSE
ENSMUSG00000029561	0.51721792515485	4.60848812827746	0.00479915012809349	0.140101276701382	Oasl2	-4.93068672364516	mus	-0.941062774884441	FALSE	FALSE	FALSE
ENSMUSG00000029569	-0.400580340947951	5.66283283083178	0.00419707287339224	0.131073121740851	Tmem168	-4.81354336850737	mus	-0.803238833017749	FALSE	FALSE	FALSE
ENSMUSG00000029570	0.106092316298482	7.30642304362829	0.436040748741367	0.893850837149745	Lfng	-8.87121830994329	mus	-5.97403286180364	FALSE	FALSE	FALSE
ENSMUSG00000029571	-0.275720908999473	4.33501544899188	0.0423933769700465	0.438324172048312	Tmem106b	-6.83445539822709	mus	-3.18908529056003	FALSE	FALSE	FALSE
ENSMUSG00000029575	-0.166651520237063	2.34758653413489	0.386672491505789	0.869616992782719	Mmab	-8.76621635720549	mus	-5.84380149633149	FALSE	FALSE	FALSE
ENSMUSG00000029577	0.0322163577973233	7.83334441155475	0.766638361794726	0.971734708252891	Ube3b	-9.36432427319998	mus	-6.63168998578547	FALSE	FALSE	FALSE
ENSMUSG00000029578	0.0049583104965545	6.65613706135466	0.973691170266199	1	Wipi2	-9.57324782129353	mus	-6.88737992368193	FALSE	FALSE	FALSE
ENSMUSG00000029580	-0.0877187782503294	11.3839073183469	0.653574303693301	0.951107664529961	Actb	-9.22489075095852	mus	-6.45127315906321	FALSE	FALSE	FALSE
ENSMUSG00000029587	0.130230417828629	6.36022810106602	0.267158987911934	0.79763827612922	Zfp12	-8.44311743117288	mus	-5.40200245217967	FALSE	FALSE	FALSE
ENSMUSG00000029591	0.751095693721229	4.24002999210386	1.07278615033098e-06	0.00014588533687349	Ung	2.41499340806186	mus	3.11169176304045	TRUE	TRUE	FALSE
ENSMUSG00000029592	-0.0253900205712559	4.35147445380366	0.842798426160918	0.982155770551654	Usp30	-9.44709063084108	mus	-6.73614528351901	FALSE	FALSE	FALSE
ENSMUSG00000029594	0.18581740938477	5.4184689597014	0.103473774650533	0.612283524231763	Rbm19	-7.61423084785234	mus	-4.20078695532906	FALSE	FALSE	FALSE
ENSMUSG00000029598	0.0395722403694948	4.99897276421673	0.749086593743054	0.969881525194913	Plbd2	-9.34408495562344	mus	-6.59961133042048	FALSE	FALSE	FALSE
ENSMUSG00000029599	0.073550798761987	8.11154965768636	0.50264188939645	0.916148617888724	Ddx54	-8.99543193204992	mus	-6.15009664069106	FALSE	FALSE	FALSE
ENSMUSG00000029600	0.0125758640395368	2.60018095909025	0.97522766378553	1	1110008J03Rik	-9.57462570654764	mus	-6.88903420055929	FALSE	FALSE	FALSE
ENSMUSG00000029602	0.127933633142479	5.8237521568139	0.226270345956804	0.766820923222063	Rasal1	-8.29795616476616	mus	-5.18875438278073	FALSE	FALSE	FALSE
ENSMUSG00000029603	0.223220461686631	9.14315579975075	0.099758128716057	0.604115883199888	Dtx1	-7.58227378793164	mus	-4.15644626691298	FALSE	FALSE	FALSE
ENSMUSG00000029605	0.346826196970858	4.03158762881125	0.0308030500416762	0.383840489225934	Oas1b	-6.55536070822531	mus	-2.81052809214985	FALSE	FALSE	FALSE
ENSMUSG00000029610	0.32060583045859	5.06005785189649	0.00726244607439001	0.186206344098262	Aimp2	-5.29271100629103	mus	-1.27055394407667	FALSE	FALSE	FALSE
ENSMUSG00000029613	-0.0306858865924816	5.66909887890454	0.784762106933433	0.973889777481001	Eif2ak1	-9.38474258201493	mus	-6.65571398844511	FALSE	FALSE	FALSE
ENSMUSG00000029614	0.137149400132628	7.74402606380722	0.236064129145148	0.775530820076411	Rpl6	-8.33498458316025	mus	-5.24582012379445	FALSE	FALSE	FALSE
ENSMUSG00000029616	0.000400651513584194	5.72175299076721	1	1	Erp29	-9.59654611084777	mus	-6.91094724139009	FALSE	FALSE	FALSE
ENSMUSG00000029617	-0.0869140176806379	5.20921472114931	0.449666810727075	0.900622293214485	Ccz1	-8.8981082762098	mus	-6.00796320604448	FALSE	FALSE	FALSE
ENSMUSG00000029621	0.120278151273974	6.28565875109503	0.319691144578754	0.834007276884301	Arpc1a	-8.59998676664127	mus	-5.61394750819876	FALSE	FALSE	FALSE
ENSMUSG00000029622	0.177800210534926	8.41218497298941	0.113454199868202	0.630868772869613	Arpc1b	-7.69469754515894	mus	-4.31577567186132	FALSE	FALSE	FALSE
ENSMUSG00000029623	0.107203599275678	6.08832186952152	0.316725054197931	0.831770275256691	Pdap1	-8.59184118160472	mus	-5.60211447812861	FALSE	FALSE	FALSE
ENSMUSG00000029624	0.0949878079373193	5.05995898036222	0.424669793520513	0.88918444399148	Ptcd1	-8.84812739841136	mus	-5.94684925726187	FALSE	FALSE	FALSE
ENSMUSG00000029625	0.0997029248129418	6.28711790247939	0.339939789636902	0.847821352965508	Cpsf4	-8.6536537771043	mus	-5.68378154530466	FALSE	FALSE	FALSE
ENSMUSG00000029627	-0.278927878093577	5.46653463406436	0.0225041254232003	0.341471496357967	Zkscan14	-6.28104028080315	mus	-2.40199594396707	FALSE	FALSE	FALSE
ENSMUSG00000029629	-0.0124043486577598	6.48836152520471	0.907660189457078	0.992607053183975	Phf14	-9.51188119589297	mus	-6.81554151437582	FALSE	FALSE	FALSE
ENSMUSG00000029632	0.0396961377264501	4.84187393950625	0.794411469261076	0.975361772453392	Ndufa4	-9.39542206266225	mus	-6.67061301122	FALSE	FALSE	FALSE
ENSMUSG00000029633	-0.183503277606287	4.98436914214566	0.117837288007137	0.641560267919807	Gm5578	-7.72782198421186	mus	-4.35456128191307	FALSE	FALSE	FALSE
ENSMUSG00000029634	-0.209672800835801	5.71365790240767	0.102711218020778	0.610640074818602	Rnf6	-7.607766971921	mus	-4.19256261794203	FALSE	FALSE	FALSE
ENSMUSG00000029635	0.00111290667453593	5.06913304118448	1	1	Cdk8	-9.59654611084777	mus	-6.91125037451934	FALSE	FALSE	FALSE
ENSMUSG00000029638	-0.345211433559719	4.28475646817361	0.045866579171743	0.450323675027953	Glcci1	-6.90326779305981	mus	-3.28762037023508	FALSE	FALSE	FALSE
ENSMUSG00000029640	-0.0967867107200557	7.06732684293663	0.449834690477023	0.900622293214485	Usp12	-8.89843446753597	mus	-6.00967076590285	FALSE	FALSE	FALSE
ENSMUSG00000029642	-0.0413647928076466	6.54627750362722	0.709542124363083	0.96308428055093	Polr1d	-9.29669095068352	mus	-6.54264249895779	FALSE	FALSE	FALSE
ENSMUSG00000029647	0.0564124941150377	7.56378373068078	0.612158116213464	0.943269521224554	Pan3	-9.16768242182436	mus	-6.37895577857708	FALSE	FALSE	FALSE
ENSMUSG00000029649	0.157660326795132	5.69592886786583	0.153312144357332	0.693487312349818	Pomp	-7.95779899294898	mus	-4.68678557364095	FALSE	FALSE	FALSE
ENSMUSG00000029650	0.205191103366748	3.37782031475441	0.190054289570801	0.737894193299282	Slc46a3	-8.14553540925981	mus	-4.93840047908744	FALSE	FALSE	FALSE
ENSMUSG00000029655	-0.0981738673938533	7.20234064333855	0.446976057988525	0.899057066274241	N4bp2l2	-8.89286344425252	mus	-6.00203670450206	FALSE	FALSE	FALSE
ENSMUSG00000029657	0.741184746472267	9.20513860702836	0.020271807276196	0.326506784959781	Hsph1	-6.1897494195421	mus	-2.27688689190994	FALSE	FALSE	FALSE
ENSMUSG00000029670	-0.143762595607301	6.99868057090356	0.38558578883881	0.869616992782719	Ing3	-8.76375698405095	mus	-5.83990190327281	FALSE	FALSE	FALSE
ENSMUSG00000029672	-0.0236139145931614	6.07827872513316	0.830154119286219	0.98135728361143	Fam3c	-9.43388084862894	mus	-6.71636821033751	FALSE	FALSE	FALSE
ENSMUSG00000029674	0.0531970043153441	4.5362300077615	0.679738909870939	0.957130642422843	Limk1	-9.25919230200046	mus	-6.49456708382769	FALSE	FALSE	FALSE
ENSMUSG00000029676	-0.122699708472368	4.66794469432616	0.418455181179559	0.885246030218264	Pot1a	-8.83524472679306	mus	-5.9300134531639	FALSE	FALSE	FALSE
ENSMUSG00000029681	0.0542751428343273	6.06956097748173	0.649879107313634	0.950657019158943	Bcl7b	-9.21993603050527	mus	-6.44430091615229	FALSE	FALSE	FALSE
