gene_id	logFC	logCPM	LR	PValue	FDR	gene	score	specie	pos_score	pass_thr
ENSG00000163468	0.197899773166681	9.33861974236111	-5.72764773711906	0.161378751059774	0.709161577086968	CCT3	-3.9392388580353	hsa	FALSE	FALSE
ENSG00000110047	-0.235967423999984	10.4528442444444	-5.59167542726115	0.415288843867267	0.878232909730611	EHD1	-4.30894502202335	hsa	FALSE	FALSE
ENSG00000172602	0.176066729333344	6.74999852512963	-5.26708958379963	0.247114876451373	0.790823989927116	RND1	-4.10590003375653	hsa	FALSE	FALSE
ENSG00000105193	-0.142815476666645	13.8242403125926	-5.390124317849	0.297976584143467	0.823150077931697	RPS16	-4.17910498051304	hsa	FALSE	FALSE
ENSG00000120942	0.138599568333343	7.80744968318518	-5.4638994752841	0.334968510996325	0.842712740062752	UBIAD1	-4.2248759192364	hsa	FALSE	FALSE
ENSG00000095485	0.184620480000014	10.5362615358704	-5.27364029751461	0.249537466963914	0.79248129946452	CWF19L1	-4.10971582549292	hsa	FALSE	FALSE
ENSG00000108298	0.00938728133335243	11.6170277719352	-5.91058470780477	0.936959121966902	0.993929858589005	LOC653314	-4.62719584186318	hsa	FALSE	FALSE
ENSG00000183955	-0.0193512699999907	7.35929298553704	-5.90186797271567	0.891991269232501	0.990026830054302	SETD8	-4.60795865985618	hsa	FALSE	FALSE
ENSG00000000457	-0.205750576833324	6.86239026302778	-5.19874747785858	0.109639140228153	0.637543338731224	SCYL3	-3.78804288140118	hsa	FALSE	FALSE
ENSG00000169902	0.427191286666677	6.86449743944444	-4.87628371212156	0.142151437947957	0.689100210833732	TPST1	-3.88961936668725	hsa	FALSE	FALSE
ENSG00000111341	-0.0871915058333252	6.60296313114815	-5.76195109475063	0.576205955672298	0.928849193113821	MGP	-4.43703728507835	hsa	FALSE	FALSE
ENSG00000114770	-0.0335920681666555	7.44943827461111	-5.91060065616477	0.625993625232383	0.943750191503237	ABCC5	-4.46945238713523	hsa	FALSE	FALSE
ENSG00000198937	-0.456486106999987	8.83166103340741	-4.79635489098516	0.127609227312956	0.665669509783694	C6orf129	-3.84740826107611	hsa	FALSE	FALSE
ENSG00000072501	0.206343372000008	7.51889240811111	-4.63861401547127	0.10350032334629	0.62535002043913	SMC1A	-3.76550595748535	hsa	FALSE	FALSE
ENSG00000128944	-0.0152336026666577	6.92299681884259	-5.69066010184131	0.366472968896214	0.855803353707994	C15orf23	-4.26003411221894	hsa	FALSE	FALSE
ENSG00000086717	-0.0418309833333232	6.26643915314815	-5.82748577431628	0.677392452899314	0.955792279420746	PPEF1	-4.50031687732803	hsa	FALSE	FALSE
ENSG00000151292	0.20512918300001	7.36145744877778	-5.65690381100252	0.227778116905535	0.769895493344161	CSNK1G3	-4.0740300517485	hsa	FALSE	FALSE
ENSG00000145936	0.111297148666677	6.51532114153704	-5.74409607030837	0.556105277065711	0.922748996236178	KCNMB1	-4.42314914060822	hsa	FALSE	FALSE
ENSG00000186468	0.0415574243333481	10.5688358578333	-5.90719895606219	0.627694485447865	0.944670155191176	LOC653658	-4.4705136747048	hsa	FALSE	FALSE
ENSG00000102034	-0.207989489999987	8.28327754364815	-5.52542616008609	0.370645210347587	0.858026195905224	ELF4	-4.26446193922684	hsa	FALSE	FALSE
ENSG00000124383	0.0648327133333506	10.0513787614074	-5.81788101315696	0.660392505768505	0.953256685153257	MPHOSPH10	-4.49037568820163	hsa	FALSE	FALSE
ENSG00000205581	0.0467549446666805	10.0710335204877	-5.6967072953263	0.287342634089184	0.814568514752963	HMGN1	-4.16489140579009	hsa	FALSE	FALSE
ENSG00000168216	-0.105997019666653	8.5474303542963	-5.73703975181576	0.547857439680603	0.920707542118728	LMBRD1	-4.41730463931002	hsa	FALSE	FALSE
ENSG00000055950	-0.00719668733332335	7.66638135973611	-5.88027767751182	0.308245553240029	0.829649747608357	MRPL43	-4.19235725110454	hsa	FALSE	FALSE
ENSG00000004975	-0.129443010999987	7.72584482896296	-5.44650198257112	0.325725015797274	0.838679957619442	DVL2	-4.21393085784251	hsa	FALSE	FALSE
ENSG00000077238	0.00754194400000863	8.98760654462963	-5.91019853042768	0.973287278974794	0.996779682408721	IL4R	-4.64207437224431	hsa	FALSE	FALSE
ENSG00000136280	-0.285095856777765	8.13867693100617	-5.68334925467001	0.025195958657536	0.396794154667052	CCM2	-3.21287857869888	hsa	FALSE	FALSE
ENSG00000131143	-0.0320003866666507	13.9810719705556	-5.89023905270096	0.836459732253915	0.98234840512774	COX4I1	-4.58281747099525	hsa	FALSE	FALSE
ENSG00000184076	0.0112903304166774	7.72276495559259	-5.90449667899207	0.362397370681802	0.85345426735512	LOC644310	-4.25565990545587	hsa	FALSE	FALSE
ENSG00000105875	0.317105173000011	7.60386392288889	-4.37631293190912	0.0736837098701877	0.570742360770854	WDR91	-3.63260193627048	hsa	FALSE	FALSE
ENSG00000213741	-0.0576562814666508	11.6994051178778	-5.8965141912968	0.278784649967758	0.808161219987903	LOC647361	-4.15306523435657	hsa	FALSE	FALSE
ENSG00000159231	-0.00510068433332211	7.53004778061111	-5.91058155079639	0.985613586267409	0.998830353153162	CBR3	-4.64699680690376	hsa	FALSE	FALSE
ENSG00000119383	4.17008334285818e-06	6.83104860619907	-5.35675348305731	0.184009249181212	0.730846087804327	PPP2R4	-3.99056790693705	hsa	FALSE	FALSE
ENSG00000156804	0.137563679666677	7.30114169067284	-5.7369041255785	0.333545669936684	0.841820188278966	FBXO32	-4.22321097337399	hsa	FALSE	FALSE
ENSG00000183691	-0.12904800133332	6.93404209327778	-5.65450922900979	0.465407564260298	0.897940481531805	NOG	-4.35351033170656	hsa	FALSE	FALSE
ENSG00000168813	0.372260977000012	6.89058347207407	-4.21111670809792	0.0597408092071384	0.531650023633487	ZNF507	-3.55055552475964	hsa	FALSE	FALSE
ENSG00000165533	-0.00739875483332364	6.31284376041667	-5.65872337289451	0.453160796719524	0.894037274274617	TTC8	-4.3430802088979	hsa	FALSE	FALSE
ENSG00000099999	0.0268797256666762	6.27732537944444	-5.88621387884542	0.821369560720677	0.981737762324583	RNF215	-4.57569681413954	hsa	FALSE	FALSE
ENSG00000141560	0.011201262333346	8.62660300098148	-5.90981117584459	0.964991000805485	0.996448601284671	FN3KRP	-4.63872607871237	hsa	FALSE	FALSE
ENSG00000110435	0.0662508443333438	7.35488306933333	-5.84685333773375	0.715539053385116	0.96334055665747	PDHX	-4.5217452100692	hsa	FALSE	FALSE
ENSG00000164659	-0.0895286303333247	6.87891212405556	-5.69534351359672	0.503332098248939	0.91170884829086	KIAA1324L	-4.3841503401171	hsa	FALSE	FALSE
ENSG00000205339	0.064822949333343	7.45603315255556	-5.8595020559079	0.744153329771758	0.969154051774449	IPO7	-4.53708186902981	hsa	FALSE	FALSE
ENSG00000172340	-0.0819379553333235	7.05014358433333	-5.80639795362592	0.641393075700249	0.947821154907454	SUCLG2	-4.47895780354558	hsa	FALSE	FALSE
ENSG00000104388	0.0567441271666773	7.28796870736111	-5.88405413775384	0.581108129537965	0.929632361183004	RAB2A	-4.44035083688103	hsa	FALSE	FALSE
ENSG00000101040	-0.223593672555546	6.99243953922222	-5.89743316374388	0.0231554893736603	0.385160020155189	ZMYND8	-3.17984677537291	hsa	FALSE	FALSE
ENSG00000042317	0.0985080683333432	6.68204437790741	-5.68064284367314	0.489108612348661	0.906647906255106	SPATA7	-4.37293829314171	hsa	FALSE	FALSE
ENSG00000102893	-0.0725454053333232	7.11170474076543	-5.90343403392052	0.150723894969807	0.697895978411309	PHKB	-3.91252278406667	hsa	FALSE	FALSE
ENSG00000133742	0.0516153353333468	6.90693968357407	-5.90620289871447	0.922653887535191	0.993417067776642	CA1	-4.62117808459655	hsa	FALSE	FALSE
ENSG00000163738	0.154631906333346	7.36936610638889	-5.37370175265724	0.290471816188394	0.817629448934216	MTHFD2L	-4.1691278391553	hsa	FALSE	FALSE
ENSG00000184436	0.202935890000012	8.06580718968518	-5.28190194522998	0.252634371875486	0.79370663454389	THAP7	-4.11454013006072	hsa	FALSE	FALSE
ENSG00000124784	0.189051017000013	8.51829462533333	-5.75555532633013	0.416960992561233	0.879959868502207	RIOK1	-4.31051674302193	hsa	FALSE	FALSE
ENSG00000169188	-0.236688464666654	8.80662848327778	-4.99904759420951	0.168260795083217	0.718457773112775	APEX2	-3.9555729480634	hsa	FALSE	FALSE
ENSG00000157617	0.0554347408333431	6.8287285244537	-5.76820646245223	0.19009110778651	0.736629544197246	C2CD2	-4.00328653179638	hsa	FALSE	FALSE
ENSG00000104643	0.0484214536666805	8.48480746983333	-5.83757367680949	0.696535651687896	0.959876719038932	MTMR9	-4.51121702303794	hsa	FALSE	FALSE
ENSG00000196814	0.0196130578333436	6.64075659587963	-5.7409133886882	0.25192839435961	0.79370663454389	FAM125B	-4.1134455950703	hsa	FALSE	FALSE
ENSG00000164620	-0.220656541333324	6.93409885644444	-5.09667779537087	0.19297502826565	0.739354647298881	RELL2	-4.00917593679834	hsa	FALSE	FALSE
ENSG00000062822	0.257806993000012	7.64723133611111	-5.25343312751412	0.242156006150211	0.786363766013941	POLD1	-4.09797133448936	hsa	FALSE	FALSE
ENSG00000101442	0.262429925666678	8.05503264503704	-4.43377706686986	0.0793172456095269	0.581436040532732	ACTR5	-3.66141815447982	hsa	FALSE	FALSE
ENSG00000185522	-0.0966999046666555	6.42334544909259	-5.69816402020038	0.506141262884198	0.912381809597436	C11orf35	-4.38632723343453	hsa	FALSE	FALSE
ENSG00000122694	-0.59097994366665	8.7821491092963	-5.00551953864155	0.169781589221341	0.718461201803961	C9orf19	-3.95909224490064	hsa	FALSE	FALSE
ENSG00000040933	-0.00606597199998848	7.09296029024074	-5.91002538777782	0.969300032536668	0.996779682408721	INPP4A	-4.64046873720701	hsa	FALSE	FALSE
ENSG00000147010	-0.503733631777764	9.34840612801235	-3.60200749055642	0.00459910991368036	0.209081634943198	SH3KBP1	-2.54763259047557	hsa	FALSE	FALSE
ENSG00000182118	0.335013438416677	7.10321232063889	-5.2227818711724	0.000642273664031615	0.0985127423534589	FAM89A	-1.77764810999582	hsa	FALSE	FALSE
ENSG00000182796	0.0105912511666757	6.51899474528704	-5.90304930347271	0.754692578658391	0.970007479458071	LOC440104	-4.54258251288775	hsa	FALSE	FALSE
ENSG00000159784	-0.0498023816666571	6.32542900781482	-5.82033807692962	0.66463828156782	0.953830517427178	FAM131B	-4.49288229532723	hsa	FALSE	FALSE
ENSG00000156411	0.299268335333345	8.81491510283333	-5.02036698036803	0.173330336098569	0.720855634208115	C14orf2	-3.96718336025551	hsa	FALSE	FALSE
