Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 78509.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 9.87 sec. (3800.98 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0      103.6277   825       11.2399 UserPurge1: 4    23161  821.96%
      0     0      103.6276   837       11.2399 UserPurge1: 4    23175  821.96%
      0     0      103.6276   831       11.2399 UserPurge1: 4    23189  821.96%
      0     0      103.6276   846       11.2399 UserPurge1: 4    23201  821.96%
      0     0      103.6275   873       11.2399 UserPurge1: 4    23221  821.96%
      0     0      103.6275   873       11.2399 UserPurge1: 4    23234  821.96%
      0     0      103.6275   867       11.2399 UserPurge1: 4    23255  821.96%
      0     0      103.6274   885       11.2399 UserPurge1: 4    23273  821.96%
      0     0      103.6274   867       11.2399 UserPurge1: 4    23290  821.96%
      0     0      103.6274   885       11.2399 UserPurge1: 4    23309  821.96%
      0     0      103.6274   879       11.2399 UserPurge1: 4    23330  821.96%
      0     0      103.6274   891       11.2399 UserPurge1: 4    23353  821.96%
      0     0      103.6273   900       11.2399 UserPurge1: 4    23383  821.96%
      0     0      103.6272   870       11.2399 UserPurge1: 4    23409  821.95%
      0     0      103.6269   873       11.2399 UserPurge1: 4    23454  821.95%
      0     0      103.6268   855       11.2399 UserPurge1: 4    23473  821.95%
      0     0      103.6267   879       11.2399 UserPurge1: 4    23498  821.95%
      0     0      103.6265   861       11.2399 UserPurge1: 4    23525  821.95%
      0     0      103.6265   873       11.2399 UserPurge1: 4    23546  821.95%
      0     0      103.6264   867       11.2399 UserPurge1: 4    23556  821.95%
      0     0      103.6263   903       11.2399 UserPurge1: 4    23582  821.95%
      0     0      103.6262   885       11.2399 UserPurge1: 4    23595  821.95%
      0     0      103.6262   909       11.2399 UserPurge1: 4    23609  821.95%
      0     0      103.6261   903       11.2399 UserPurge1: 4    23625  821.94%
      0     0      103.6260   891       11.2399 UserPurge1: 4    23660  821.94%
      0     0      103.6257   876       11.2399 UserPurge1: 4    23689  821.94%
      0     0      103.6256   897       11.2399 UserPurge1: 4    23718  821.94%
      0     0      103.6254   864       11.2399 UserPurge1: 4    23742  821.94%
      0     0      103.6253   864       11.2399 UserPurge1: 4    23775  821.94%
      0     0      103.6252   882       11.2399 UserPurge1: 4    23794  821.94%
      0     0      103.6251   906       11.2399 UserPurge1: 4    23826  821.94%
      0     0      103.6251   906       11.2399 UserPurge1: 4    23856  821.94%
      0     0      103.6250   888       11.2399 UserPurge1: 4    23876  821.93%
      0     0      103.6249   855       11.2399 UserPurge1: 4    23904  821.93%
      0     0      103.6248   879       11.2399 UserPurge1: 4    23931  821.93%
      0     0      103.6247   879       11.2399 UserPurge1: 4    23953  821.93%
      0     0      103.6246   897       11.2399 UserPurge1: 4    23974  821.93%
      0     0      103.6246   873       11.2399 UserPurge1: 4    23990  821.93%
      0     0      103.6245   885       11.2399 UserPurge1: 4    24000  821.93%
      0     0      103.6244   909       11.2399 UserPurge1: 4    24030  821.93%
      0     0      103.6242   879       11.2399 UserPurge1: 4    24049  821.93%
      0     0      103.6239   855       11.2399 UserPurge1: 4    24082  821.92%
      0     0      103.6237   894       11.2399 UserPurge1: 4    24116  821.92%
      0     0      103.6237   885       11.2399 UserPurge1: 4    24132  821.92%
      0     0      103.6236   915       11.2399 UserPurge1: 4    24154  821.92%
      0     0      103.6235   927       11.2399 UserPurge1: 4    24163  821.92%
      0     0      103.6235   927       11.2399 UserPurge1: 4    24201  821.92%
      0     0      103.6234   941       11.2399 UserPurge1: 4    24227  821.92%
      0     0      103.6234   924       11.2399 UserPurge1: 4    24271  821.92%
      0     0      103.6231   897       11.2399 UserPurge1: 4    24321  821.92%
      0     0      103.6230   897       11.2399 UserPurge1: 4    24341  821.92%
      0     0      103.6229   879       11.2399 UserPurge1: 4    24360  821.92%
      0     0      103.6228   873       11.2399 UserPurge1: 4    24384  821.92%
      0     0      103.6228   897       11.2399 UserPurge1: 4    24397  821.92%
      0     0      103.6227   897       11.2399 UserPurge1: 4    24420  821.91%
      0     0      103.6226   909       11.2399 UserPurge1: 4    24446  821.91%
      0     0      103.6225   891       11.2399 UserPurge1: 4    24480  821.91%
      0     0      103.6224   885       11.2399 UserPurge1: 4    24498  821.91%
      0     0      103.6224   891       11.2399 UserPurge1: 4    24525  821.91%
      0     0      103.6223   903       11.2399 UserPurge1: 4    24551  821.91%
      0     0      103.6223   909       11.2399 UserPurge1: 4    24565  821.91%
      0     0      103.6222   903       11.2399 UserPurge1: 4    24588  821.91%
      0     0      103.6222   927       11.2399 UserPurge1: 4    24607  821.91%
      0     0      103.6221   931       11.2399 UserPurge1: 4    24638  821.91%
      0     0      103.6221   924       11.2399 UserPurge1: 4    24654  821.91%
      0     0      103.6221   934       11.2399 UserPurge1: 4    24680  821.91%
      0     0      103.6219   933       11.2399 UserPurge1: 4    24738  821.91%
      0     0      103.6216   885       11.2399 UserPurge1: 4    24767  821.90%
      0     0      103.6212   906       11.2399 UserPurge1: 4    24788  821.90%
      0     0      103.6211   915       11.2399 UserPurge1: 4    24804  821.90%
      0     0      103.6207   891       11.2399 UserPurge1: 4    24820  821.90%
      0     0      103.6201   849       11.2399 UserPurge1: 4    24868  821.89%
      0     0      103.6199   861       11.2399 UserPurge1: 4    24883  821.89%
      0     0      103.6199   867       11.2399 UserPurge1: 4    24899  821.89%
      0     0      103.6197   861       11.2399 UserPurge1: 4    24922  821.89%
      0     0      103.6197   876       11.2399 UserPurge1: 4    24938  821.89%
      0     0      103.6196   882       11.2399 UserPurge1: 4    24959  821.89%
      0     0      103.6195   909       11.2399 UserPurge1: 4    24986  821.89%
      0     0      103.6194   914       11.2399 UserPurge1: 4    25009  821.88%
      0     0      103.6193   879       11.2399 UserPurge1: 4    25023  821.88%
      0     0      103.6193   903       11.2399 UserPurge1: 4    25048  821.88%
      0     0      103.6193   903       11.2399 UserPurge1: 4    25065  821.88%
      0     0      103.6193   903       11.2399 UserPurge1: 4    25084  821.88%
      0     0      103.6192   933       11.2399 UserPurge1: 4    25100  821.88%
      0     0      103.6191   909       11.2399 UserPurge1: 4    25131  821.88%
      0     0      103.6187   879       11.2399 UserPurge1: 4    25166  821.88%
      0     0      103.6185   885       11.2399 UserPurge1: 4    25193  821.88%
      0     0      103.6184   888       11.2399 UserPurge1: 4    25213  821.88%
      0     0      103.6183   915       11.2399 UserPurge1: 4    25232  821.88%
      0     0      103.6183   897       11.2399 UserPurge1: 4    25249  821.88%
      0     0      103.6183   897       11.2399 UserPurge1: 4    25266  821.87%
      0     0      103.6182   909       11.2399 UserPurge1: 4    25291  821.87%
      0     0      103.6181   915       11.2399 UserPurge1: 4    25310  821.87%
      0     0      103.6180   915       11.2399 UserPurge1: 4    25330  821.87%
      0     0      103.6178   925       11.2399 UserPurge1: 4    25372  821.87%
      0     0      103.6176   908       11.2399 UserPurge1: 4    25390  821.87%
      0     0      103.6171   903       11.2399 UserPurge1: 19    25438  821.86%
      0     0      103.6169   913       11.2399 UserPurge1: 4    25460  821.86%
      0     0      103.6168   901       11.2399 UserPurge1: 4    25480  821.86%
      0     0      103.6167   895       11.2399 UserPurge1: 4    25502  821.86%
      0     0      103.6166   897       11.2399 UserPurge1: 4    25517  821.86%
      0     0      103.6165   921       11.2399 UserPurge1: 4    25556  821.86%
      0     0      103.6164   927       11.2399 UserPurge1: 4    25584  821.86%
      0     0      103.6163   879       11.2399 UserPurge1: 4    25611  821.86%
      0     0      103.6161   897       11.2399 UserPurge1: 4    25640  821.86%
      0     0      103.6161   925       11.2399 UserPurge1: 4    25661  821.86%
      0     0      103.6161   939       11.2399 UserPurge1: 4    25675  821.86%
      0     0      103.6160   925       11.2399 UserPurge1: 4    25711  821.85%
      0     0      103.6158   873       11.2399 UserPurge1: 4    25744  821.85%
      0     0      103.6157   920       11.2399 UserPurge1: 4    25760  821.85%
      0     0      103.6157   913       11.2399 UserPurge1: 19    25780  821.85%
      0     0      103.6155   883       11.2399 UserPurge1: 4    25806  821.85%
      0     0      103.6154   901       11.2399 UserPurge1: 4    25834  821.85%
      0     0      103.6153   903       11.2399 UserPurge1: 4    25862  821.85%
      0     0      103.6152   929       11.2399 UserPurge1: 4    25883  821.85%
      0     0      103.6151   914       11.2399 UserPurge1: 4    25928  821.85%
      0     0      103.6149   957       11.2399 UserPurge1: 19    25967  821.85%
      0     0      103.6149   919       11.2399 UserPurge1: 4    25999  821.84%
      0     0      103.6148   940       11.2399 UserPurge1: 4    26042  821.84%
      0     0      103.6148   932       11.2399 UserPurge1: 19    26053  821.84%
      0     0      103.6147   951       11.2399 UserPurge1: 19    26089  821.84%
      0     0      103.6147   937       11.2399 UserPurge1: 4    26109  821.84%
      0     0      103.6147   967       11.2399 UserPurge1: 4    26144  821.84%
      0     0      103.6147   951       11.2399 UserPurge1: 4    26157  821.84%
      0     0      103.6146   976       11.2399 UserPurge1: 4    26190  821.84%
      0     0      103.6146   934       11.2399 UserPurge1: 19    26215  821.84%
      0     0      103.6146   949       11.2399 UserPurge1: 19    26242  821.84%
      0     0      103.6145   921       11.2399 UserPurge1: 4    26268  821.84%
      0     0      103.6145   891       11.2399 UserPurge1: 4    26291  821.84%
      0     0      103.6145   915       11.2399 UserPurge1: 4    26311  821.84%
      0     0      103.6144   903       11.2399 UserPurge1: 4    26333  821.84%
      0     0      103.6143   903       11.2399 UserPurge1: 4    26384  821.84%
