ENSMUSP00000001995	ENSMUSG00000001930
ENSMUSP00000002007	ENSMUSG00000001942
ENSMUSP00000002008	ENSMUSG00000001943
ENSMUSP00000002011	ENSMUSG00000001946
ENSMUSP00000002013	ENSMUSG00000001948
ENSMUSP00000002025	ENSMUSG00000025519
ENSMUSP00000002029	ENSMUSG00000001964
ENSMUSP00000002043	ENSMUSG00000078622
ENSMUSP00000002044	ENSMUSG00000020700
ENSMUSP00000002048	ENSMUSG00000001983
ENSMUSP00000002053	ENSMUSG00000001988
ENSMUSP00000002063	ENSMUSG00000001998
ENSMUSP00000002064	ENSMUSG00000001999
ENSMUSP00000002073	ENSMUSG00000002020
ENSMUSP00000002079	ENSMUSG00000031385
ENSMUSP00000002080	ENSMUSG00000002006
ENSMUSP00000002081	ENSMUSG00000002007
ENSMUSP00000002084	ENSMUSG00000031378
ENSMUSP00000002087	ENSMUSG00000002012
ENSMUSP00000002090	ENSMUSG00000002014
ENSMUSP00000002091	ENSMUSG00000002015
ENSMUSP00000002095	ENSMUSG00000002028
ENSMUSP00000002099	ENSMUSG00000002031
ENSMUSP00000002100	ENSMUSG00000002032
ENSMUSP00000002101	ENSMUSG00000002033
ENSMUSP00000002112	ENSMUSG00000002043
ENSMUSP00000002121	ENSMUSG00000002052
ENSMUSP00000002127	ENSMUSG00000002058
ENSMUSP00000002128	ENSMUSG00000002059
ENSMUSP00000002133	ENSMUSG00000002064
ENSMUSP00000002145	ENSMUSG00000002076
ENSMUSP00000002152	ENSMUSG00000002083
ENSMUSP00000002171	ENSMUSG00000002102
ENSMUSP00000002172	ENSMUSG00000002103
ENSMUSP00000002176	ENSMUSG00000002107
ENSMUSP00000002177	ENSMUSG00000002108
ENSMUSP00000002180	ENSMUSG00000002111
ENSMUSP00000002198	ENSMUSG00000002129
ENSMUSP00000002259	ENSMUSG00000002190
ENSMUSP00000002274	ENSMUSG00000002204
ENSMUSP00000002275	ENSMUSG00000002205
ENSMUSP00000002280	ENSMUSG00000002210
ENSMUSP00000002284	ENSMUSG00000046223
ENSMUSP00000002289	ENSMUSG00000022111
ENSMUSP00000002291	ENSMUSG00000002221
ENSMUSP00000002292	ENSMUSG00000002222
ENSMUSP00000002297	ENSMUSG00000002227
ENSMUSP00000002298	ENSMUSG00000002228
ENSMUSP00000002303	ENSMUSG00000002233
ENSMUSP00000002305	ENSMUSG00000042599
ENSMUSP00000002310	ENSMUSG00000002240
ENSMUSP00000002318	ENSMUSG00000024220
ENSMUSP00000002320	ENSMUSG00000002250
ENSMUSP00000002327	ENSMUSG00000002257
ENSMUSP00000002336	ENSMUSG00000002266
ENSMUSP00000002344	ENSMUSG00000002274
ENSMUSP00000002350	ENSMUSG00000002280
ENSMUSP00000002360	ENSMUSG00000002289
ENSMUSP00000002368	ENSMUSG00000002297
ENSMUSP00000002379	ENSMUSG00000002308
ENSMUSP00000002389	ENSMUSG00000022218
ENSMUSP00000002391	ENSMUSG00000002320
ENSMUSP00000002395	ENSMUSG00000002324
ENSMUSP00000002397	ENSMUSG00000002326
ENSMUSP00000002398	ENSMUSG00000022220
ENSMUSP00000002400	ENSMUSG00000002329
ENSMUSP00000002403	ENSMUSG00000002332
ENSMUSP00000002412	ENSMUSG00000002341
ENSMUSP00000002413	ENSMUSG00000002342
ENSMUSP00000002418	ENSMUSG00000002345
ENSMUSP00000002436	ENSMUSG00000002365
ENSMUSP00000002444	ENSMUSG00000024206
ENSMUSP00000002445	ENSMUSG00000002372
ENSMUSP00000002452	ENSMUSG00000002379
ENSMUSP00000002456	ENSMUSG00000020622
ENSMUSP00000002457	ENSMUSG00000002384
ENSMUSP00000002466	ENSMUSG00000002393
ENSMUSP00000002469	ENSMUSG00000002396
ENSMUSP00000002473	ENSMUSG00000031820
ENSMUSP00000002483	ENSMUSG00000002409
ENSMUSP00000002487	ENSMUSG00000002413
ENSMUSP00000002495	ENSMUSG00000041420
ENSMUSP00000002502	ENSMUSG00000002428
ENSMUSP00000002518	ENSMUSG00000054452
ENSMUSP00000002529	ENSMUSG00000002455
ENSMUSP00000002532	ENSMUSG00000002458
ENSMUSP00000002533	ENSMUSG00000002459
ENSMUSP00000002549	ENSMUSG00000002475
ENSMUSP00000002551	ENSMUSG00000002477
ENSMUSP00000002572	ENSMUSG00000002504
ENSMUSP00000002588	ENSMUSG00000002489
ENSMUSP00000002599	ENSMUSG00000002524
ENSMUSP00000002603	ENSMUSG00000022568
ENSMUSP00000002625	ENSMUSG00000002550
ENSMUSP00000002640	ENSMUSG00000002565
ENSMUSP00000002655	ENSMUSG00000002580
ENSMUSP00000002663	ENSMUSG00000002588
ENSMUSP00000002677	ENSMUSG00000002602
ENSMUSP00000002678	ENSMUSG00000002603
ENSMUSP00000002683	ENSMUSG00000002608
ENSMUSP00000002699	ENSMUSG00000024045
ENSMUSP00000002708	ENSMUSG00000002633
ENSMUSP00000002710	ENSMUSG00000002635
ENSMUSP00000002733	ENSMUSG00000002658
ENSMUSP00000002735	ENSMUSG00000002660
ENSMUSP00000002737	ENSMUSG00000002661
ENSMUSP00000002740	ENSMUSG00000002664
ENSMUSP00000002756	ENSMUSG00000002679
ENSMUSP00000002757	ENSMUSG00000091803
ENSMUSP00000002765	ENSMUSG00000002688
ENSMUSP00000002790	ENSMUSG00000002718
ENSMUSP00000002805	ENSMUSG00000002728
ENSMUSP00000002808	ENSMUSG00000002731
ENSMUSP00000002809	ENSMUSG00000002732
ENSMUSP00000002817	ENSMUSG00000057897
ENSMUSP00000002818	ENSMUSG00000002741
ENSMUSP00000002825	ENSMUSG00000002748
ENSMUSP00000002837	ENSMUSG00000063406
ENSMUSP00000002839	ENSMUSG00000059409
ENSMUSP00000002840	ENSMUSG00000002763
ENSMUSP00000002844	ENSMUSG00000002767
ENSMUSP00000002845	ENSMUSG00000002768
ENSMUSP00000002846	ENSMUSG00000002769
ENSMUSP00000002848	ENSMUSG00000002771
ENSMUSP00000002850	ENSMUSG00000030834
ENSMUSP00000002855	ENSMUSG00000002778
ENSMUSP00000002880	ENSMUSG00000002803
ENSMUSP00000002881	ENSMUSG00000002804
ENSMUSP00000002883	ENSMUSG00000021319
ENSMUSP00000002885	ENSMUSG00000002808
ENSMUSP00000002889	ENSMUSG00000002812
ENSMUSP00000002891	ENSMUSG00000002814
ENSMUSP00000002902	ENSMUSG00000002825
ENSMUSP00000002908	ENSMUSG00000002831
ENSMUSP00000002911	ENSMUSG00000002833
ENSMUSP00000002914	ENSMUSG00000002835
ENSMUSP00000002923	ENSMUSG00000002844
ENSMUSP00000002924	ENSMUSG00000002845
ENSMUSP00000002925	ENSMUSG00000002846
ENSMUSP00000002926	ENSMUSG00000002847
ENSMUSP00000002964	ENSMUSG00000002885
ENSMUSP00000002976	ENSMUSG00000002897
ENSMUSP00000002979	ENSMUSG00000002900
ENSMUSP00000002980	ENSMUSG00000020664
ENSMUSP00000002989	ENSMUSG00000002910
ENSMUSP00000003017	ENSMUSG00000029925
ENSMUSP00000003027	ENSMUSG00000002948
ENSMUSP00000003029	ENSMUSG00000002949
ENSMUSP00000003035	ENSMUSG00000030768
ENSMUSP00000003038	ENSMUSG00000002957
ENSMUSP00000003044	ENSMUSG00000002963
ENSMUSP00000003049	ENSMUSG00000002968
ENSMUSP00000003061	ENSMUSG00000002980
ENSMUSP00000003066	ENSMUSG00000002985
ENSMUSP00000003071	ENSMUSG00000074336
ENSMUSP00000003074	ENSMUSG00000002992
ENSMUSP00000003079	ENSMUSG00000002997
ENSMUSP00000003100	ENSMUSG00000052974
ENSMUSP00000003115	ENSMUSG00000003031
ENSMUSP00000003116	ENSMUSG00000003032
ENSMUSP00000003117	ENSMUSG00000003033
ENSMUSP00000003121	ENSMUSG00000003037
ENSMUSP00000003122	ENSMUSG00000090620
ENSMUSP00000003123	ENSMUSG00000003039
ENSMUSP00000003135	ENSMUSG00000003051
ENSMUSP00000003137	ENSMUSG00000003053
ENSMUSP00000003152	ENSMUSG00000003068
ENSMUSP00000003154	ENSMUSG00000003070
ENSMUSP00000003156	ENSMUSG00000003072
ENSMUSP00000003183	ENSMUSG00000003099
ENSMUSP00000003191	ENSMUSG00000024070
ENSMUSP00000003203	ENSMUSG00000003119
ENSMUSP00000003207	ENSMUSG00000003123
ENSMUSP00000003215	ENSMUSG00000003131
ENSMUSP00000003219	ENSMUSG00000003135
ENSMUSP00000003238	ENSMUSG00000003154
ENSMUSP00000003268	ENSMUSG00000003200
ENSMUSP00000003274	ENSMUSG00000003206
ENSMUSP00000003284	ENSMUSG00000003184
ENSMUSP00000003290	ENSMUSG00000003190
ENSMUSP00000003310	ENSMUSG00000003226
ENSMUSP00000003312	ENSMUSG00000003227
ENSMUSP00000003313	ENSMUSG00000003228
ENSMUSP00000003318	ENSMUSG00000003233
ENSMUSP00000003319	ENSMUSG00000003234
ENSMUSP00000003320	ENSMUSG00000003235
ENSMUSP00000003345	ENSMUSG00000021314
ENSMUSP00000003351	ENSMUSG00000020734
ENSMUSP00000003360	ENSMUSG00000003273
ENSMUSP00000003366	ENSMUSG00000003279
ENSMUSP00000003369	ENSMUSG00000003282
ENSMUSP00000003370	ENSMUSG00000003283
ENSMUSP00000003386	ENSMUSG00000003299
ENSMUSP00000003395	ENSMUSG00000032177
ENSMUSP00000003397	ENSMUSG00000003309
ENSMUSP00000003404	ENSMUSG00000003316
ENSMUSP00000003413	ENSMUSG00000061126
ENSMUSP00000003416	ENSMUSG00000048440
ENSMUSP00000003433	ENSMUSG00000020190
ENSMUSP00000003434	ENSMUSG00000003344
ENSMUSP00000003436	ENSMUSG00000003346
ENSMUSP00000003438	ENSMUSG00000003348
ENSMUSP00000003442	ENSMUSG00000003352
ENSMUSP00000003444	ENSMUSG00000003354
ENSMUSP00000003445	ENSMUSG00000003355
ENSMUSP00000003450	ENSMUSG00000003360
ENSMUSP00000003451	ENSMUSG00000054855
ENSMUSP00000003459	ENSMUSG00000020437
ENSMUSP00000003461	ENSMUSG00000020456
ENSMUSP00000003468	ENSMUSG00000003378
ENSMUSP00000003469	ENSMUSG00000003379
ENSMUSP00000003493	ENSMUSG00000003402
ENSMUSP00000003501	ENSMUSG00000003410
ENSMUSP00000003502	ENSMUSG00000003411
ENSMUSP00000003509	ENSMUSG00000003418
ENSMUSP00000003512	ENSMUSG00000003420
ENSMUSP00000003513	ENSMUSG00000003421
ENSMUSP00000003516	ENSMUSG00000074129
ENSMUSP00000003521	ENSMUSG00000003429
ENSMUSP00000003527	ENSMUSG00000003435
ENSMUSP00000003529	ENSMUSG00000003437
ENSMUSP00000003536	ENSMUSG00000003444
ENSMUSP00000003544	ENSMUSG00000003452
ENSMUSP00000003550	ENSMUSG00000003458
ENSMUSP00000003554	ENSMUSG00000007122
ENSMUSP00000003561	ENSMUSG00000003469
ENSMUSP00000003568	ENSMUSG00000003476
