intEpsilon: 1e-05
cutEpsilon: 1e-05
Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 76288.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 1.17 sec. (404.49 ticks)
Lazy DEBUG Label, root: ENSMUSP00000099793   y value: 1
Lazy DEBUG Label, root: ENSP00000329040   y value: 1

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0     1326.5569    13                   1340.5844      452         
*     0+    0                         1257.6769     1326.5569      452    5.48%
Lazy DEBUG Label, root: ENSP00000329040   y value: 1
      0     0     1324.5761    58     1294.9371 UserPurge1: 208     2080    2.29%
      0     0     1324.5744    74     1294.9371 UserPurge1: 205     2103    2.29%
      0     0     1324.5739    74     1294.9371 UserPurge1: 213     2119    2.29%
      0     0     1324.5732    67     1294.9371 UserPurge1: 213     2152    2.29%
      0     0     1324.5711    77     1294.9371 UserPurge1: 214     2184    2.29%
      0     0     1324.5692    72     1294.9371 UserPurge1: 216     2201    2.29%
      0     0     1324.5674    81     1294.9371 UserPurge1: 216     2229    2.29%
      0     0     1324.5657    77     1294.9371 UserPurge1: 219     2264    2.29%
      0     0     1324.5616    78     1294.9371 UserPurge1: 218     2300    2.29%
      0     0     1324.5566    72     1294.9371 UserPurge1: 221     2332    2.29%
      0     0     1324.5529    79     1294.9371 UserPurge1: 217     2365    2.29%
      0     0     1324.5505    74     1294.9371 UserPurge1: 219     2393    2.29%
      0     0     1324.5421    75     1294.9371 UserPurge1: 218     2449    2.29%
      0     0     1324.5405    75     1294.9371 UserPurge1: 214     2473    2.29%
      0     0     1324.5392    78     1294.9371 UserPurge1: 214     2491    2.29%
      0     0     1324.5384    76     1294.9371 UserPurge1: 216     2507    2.29%
      0     0     1324.5369    62     1294.9371 UserPurge1: 216     2524    2.29%
      0     0     1324.5351    77     1294.9371 UserPurge1: 206     2541    2.29%
      0     0     1324.5324    71     1294.9371 UserPurge1: 215     2560    2.29%
      0     0     1324.5300    79     1294.9371 UserPurge1: 214     2581    2.29%
      0     0     1324.5287    75     1294.9371 UserPurge1: 219     2604    2.29%
      0     0     1324.5274    64     1294.9371 UserPurge1: 216     2635    2.29%
      0     0     1324.5260    84     1294.9371 UserPurge1: 209     2669    2.28%
      0     0     1324.5248    84     1294.9371 UserPurge1: 222     2705    2.28%
      0     0     1324.5210    72     1294.9371 UserPurge1: 222     2764    2.28%
      0     0     1324.5184    78     1294.9371 UserPurge1: 215     2785    2.28%
      0     0     1324.5175    81     1294.9371 UserPurge1: 218     2802    2.28%
      0     0     1324.5149    82     1294.9371 UserPurge1: 220     2822    2.28%
      0     0     1324.5119    80     1294.9371 UserPurge1: 221     2859    2.28%
      0     0     1324.5096    71     1294.9371 UserPurge1: 220     2898    2.28%
      0     0     1324.5080    72     1294.9371 UserPurge1: 217     2924    2.28%
      0     0     1324.5064    77     1294.9371 UserPurge1: 218     2958    2.28%
      0     0     1324.5046    73     1294.9371 UserPurge1: 219     2985    2.28%
      0     0     1324.5001    78     1294.9371 UserPurge1: 218     3041    2.28%
      0     0     1324.4978    82     1294.9371 UserPurge1: 219     3071    2.28%
