Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 27519.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 0.42 sec. (124.45 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0      312.4117    70      309.6567 UserPurge1: 128     9971    0.89%
      0     0      312.4049    79      309.6567 UserPurge1: 122    10019    0.89%
      0     0      312.4010    78      309.6567 UserPurge1: 128    10069    0.89%
      0     0      312.3991    71      309.6567 UserPurge1: 127    10116    0.89%
      0     0      312.3983    75      309.6567 UserPurge1: 123    10165    0.89%
      0     0      312.3969    71      309.6567 UserPurge1: 127    10205    0.88%
      0     0      312.3952    85      309.6567 UserPurge1: 123    10250    0.88%
      0     0      312.3927    80      309.6567 UserPurge1: 134    10314    0.88%
      0     0      312.3917    79      309.6567 UserPurge1: 129    10342    0.88%
      0     0      312.3907    84      309.6567 UserPurge1: 131    10375    0.88%
      0     0      312.3881    73      309.6567 UserPurge1: 133    10432    0.88%
      0     0      312.3869    72      309.6567 UserPurge1: 125    10477    0.88%
      0     0      312.3860    74      309.6567 UserPurge1: 124    10514    0.88%
      0     0      312.3853    75      309.6567 UserPurge1: 126    10556    0.88%
      0     0      312.3836    75      309.6567 UserPurge1: 127    10604    0.88%
      0     0      312.3823    75      309.6567 UserPurge1: 127    10653    0.88%
      0     0      312.3808    86      309.6567 UserPurge1: 127    10691    0.88%
      0     0      312.3796    85      309.6567 UserPurge1: 135    10750    0.88%
      0     0      312.3789    88      309.6567 UserPurge1: 134    10801    0.88%
      0     0      312.3781    81      309.6567 UserPurge1: 137    10866    0.88%
      0     0      312.3748    82      309.6567 UserPurge1: 133    10955    0.88%
      0     0      312.3708    76      309.6567 UserPurge1: 131    11026    0.88%
      0     0      312.3679    77      309.6567 UserPurge1: 128    11086    0.88%
      0     0      312.3658    83      309.6567 UserPurge1: 129    11143    0.87%
      0     0      312.3616    77      309.6567 UserPurge1: 132    11208    0.87%
      0     0      312.3584    72      309.6567 UserPurge1: 129    11263    0.87%
      0     0      312.3560    78      309.6567 UserPurge1: 125    11308    0.87%
      0     0      312.3548    85      309.6567 UserPurge1: 130    11357    0.87%
      0     0      312.3533    82      309.6567 UserPurge1: 134    11408    0.87%
      0     0      312.3520    79      309.6567 UserPurge1: 131    11444    0.87%
      0     0      312.3478    76      309.6567 UserPurge1: 131    11518    0.87%
      0     0      312.3436    68      309.6567 UserPurge1: 128    11571    0.87%
      0     0      312.3409    72      309.6567 UserPurge1: 121    11615    0.87%
      0     0      312.3391    77      309.6567 UserPurge1: 124    11646    0.87%
      0     0      312.3369    76      309.6567 UserPurge1: 128    11689    0.87%
      0     0      312.3347    73      309.6567 UserPurge1: 128    11764    0.86%
