Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 61761.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 7.27 sec. (3095.31 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

     72    58      257.2541    18      253.8387      258.0405    22236    1.66%x_ENSMUSP0000010 U     72     70     11
Elapsed time = 838.86 sec. (406634.30 ticks, tree = 5.54 MB, solutions = 3)
     74    60      257.3288     8      253.8387      258.0405    22341    1.66%x_ENSP0000038678 D     74     71     12
     77    63      257.3060     7      253.8387      258.0405    22416    1.66%           m_769 D     77     75     14
     79    64      254.1651    35      253.8387      258.0405    22744    1.66%mm_ENSMUSP000000 N     79     77     15
     80    64      253.9206    25      253.8387      258.0405    22786    1.66%x_ENSP0000030040 D     80     79     16
     82    64      256.7824    47      253.8387      258.0387    23020    1.65%x_ENSP0000028124 U     82      2      3
     84    66      256.5817    24      253.8387      258.0387    23082    1.65%mm_ENSMUSP000000 D     84     83      5
     85    67      256.5550    26      253.8387      258.0387    23120    1.65%x_ENSP0000036998 D     85     84      6
     87    69      256.5477    12      253.8387      258.0387    23146    1.65%x_ENSP0000016422 D     87     86      8
     89    71      256.5364     6      253.8387      258.0387    23176    1.65%x_ENSP0000035999 D     89     88     10
     90    72      256.1370     7      253.8387      258.0387    23358    1.65%x_ENSMUSP0000008 U     90     89     11
Elapsed time = 934.32 sec. (444896.75 ticks, tree = 5.93 MB, solutions = 3)
     91    73      256.1319     8      253.8387      258.0387    23369    1.65%x_ENSMUSP0000009 U     91     90     12
     92    74      256.1220    14      253.8387      258.0387    23397    1.65%x_ENSP0000000953 D     92     91     13
     93    73        cutoff            253.8387      258.0387    23512    1.65%x_ENSMUSP0000004 N     93     92     14
     95    73      257.4737    36      253.8387      258.0372    23683    1.65%x_ENSP0000033879 U     95      3      4
