gene_id	logFC	logCPM	LR	PValue	FDR	gene	score	specie	pos_score	pass_thr
ENSG00000111880	0.0359936343333338	8.58727964416667	-6.30793481718422	0.798692662215253	0.988572465192673	RNGTT	-4.29566932880148	hsa	FALSE	FALSE
ENSG00000138600	-0.0382219776666588	9.11120162701852	-6.31659012783112	0.826853058447096	0.990589707430282	AC012100.1	-4.32142433604445	hsa	FALSE	FALSE
ENSG00000244038	0.127353441666672	9.20546966507407	-6.08422794464396	0.475295432736863	0.942590288338561	DDOST	-3.90988090813146	hsa	FALSE	FALSE
ENSG00000131042	0.0756056116666715	6.2274501372037	-5.92632257146329	0.364141810058041	0.905567794986607	LILRB2	-3.71187790218865	hsa	FALSE	FALSE
ENSG00000198146	-0.0509545009999908	7.83503947837037	-6.24410508629067	0.661354061736928	0.970493143986351	ZNF770	-4.15542337081631	hsa	FALSE	FALSE
ENSG00000198466	-0.0827175416666606	6.23198324127778	-5.802348119341	0.300927041309537	0.873273844226939	ZNF587	-3.57015382926829	hsa	FALSE	FALSE
ENSG00000088305	0.0786757896666659	6.31645297335185	-6.0764216297039	0.468650695664705	0.942290054301971	DNMT3B	-3.89941645786768	hsa	FALSE	FALSE
ENSG00000167065	0.348815004000001	7.85995237651852	-5.37047488370177	0.164838567694118	0.752465750601663	DUSP18	-3.1227765863808	hsa	FALSE	FALSE
ENSG00000084764	0.107755740333339	6.62054526759259	-5.9747707298106	0.393781434166209	0.920365831156478	MAPRE3	-3.7700410168846	hsa	FALSE	FALSE
ENSG00000180974	-0.00683058533332837	6.23576402574074	-6.33688074647871	0.930848730122321	0.995133972264128	OR52E4	-4.40947978876857	hsa	FALSE	FALSE
ENSG00000089154	-0.541682781333329	8.29718615075926	-4.24384272289496	0.0410561160851199	0.496399558542955	GCN1L1	-2.08960648032147	hsa	FALSE	FALSE
ENSG00000136758	-0.387606321666658	9.35209541348148	-4.95060908576347	0.0963357131474443	0.649993821878821	YME1L1	-2.7235439310759	hsa	FALSE	FALSE
ENSG00000133884	-0.226067987666662	9.23814364694444	-5.07529295849621	0.112632957367647	0.677739691746704	DPF2	-2.83971406125463	hsa	FALSE	FALSE
ENSG00000172819	-0.0514372343333322	6.30447454442593	-6.28712771695963	0.744292112930176	0.98271051776873	RARG	-4.24323685578606	hsa	FALSE	FALSE
ENSG00000139287	0.156814690666664	6.15650801861111	-5.05077930510771	0.109204440023239	0.673196646947713	TPH2	-2.81673751092541	hsa	FALSE	FALSE
ENSG00000167468	0.466737220000006	10.1584292733519	-5.22279196274648	0.135949157978677	0.718061557718898	GPX4	-2.97955845359346	hsa	FALSE	FALSE
